postcode,lat,lon,point
HP10 0AA,51.58935409,-0.681444213,"POINT((-0.681444213,51.58935409))"
HP10 0AB,51.59196682,-0.678697896,"POINT((-0.678697896,51.59196682))"
HP10 0AD,51.592051,-0.675706103,"POINT((-0.675706103,51.592051))"
HP10 0AE,51.58853099,-0.681814479,"POINT((-0.681814479,51.58853099))"
HP10 0AF,51.5888069,-0.681561098,"POINT((-0.681561098,51.5888069))"
HP10 0AG,51.58937167,-0.682208773,"POINT((-0.682208773,51.58937167))"
HP10 0AL,51.58978896,-0.681734767,"POINT((-0.681734767,51.58978896))"
HP10 0AN,51.600863,-0.689312,"POINT((-0.689312,51.600863))"
HP10 0AP,51.59759023,-0.68301047,"POINT((-0.68301047,51.59759023))"
HP10 0AQ,51.585588,-0.680687,"POINT((-0.680687,51.585588))"
HP10 0AT,51.59029695,-0.681330305,"POINT((-0.681330305,51.59029695))"
HP10 0AU,51.592305,-0.677504,"POINT((-0.677504,51.592305))"
HP10 0AW,51.592151,-0.684568,"POINT((-0.684568,51.592151))"
HP10 0AX,51.58973122,-0.682198371,"POINT((-0.682198371,51.58973122))"
HP10 0AZ,51.59038497,-0.680360572,"POINT((-0.680360572,51.59038497))"
HP10 0BA,51.59388747,-0.679176331,"POINT((-0.679176331,51.59388747))"
HP10 0BD,51.59299372,-0.678061774,"POINT((-0.678061774,51.59299372))"
HP10 0BE,51.59294606,-0.677023736,"POINT((-0.677023736,51.59294606))"
HP10 0BG,51.59445789,-0.67872668,"POINT((-0.67872668,51.59445789))"
HP10 0BH,51.59504406,-0.679676957,"POINT((-0.679676957,51.59504406))"
HP10 0BJ,51.59581218,-0.68001562,"POINT((-0.68001562,51.59581218))"
HP10 0BL,51.596795,-0.680222939,"POINT((-0.680222939,51.596795))"
HP10 0BN,51.59675001,-0.679454243,"POINT((-0.679454243,51.59675001))"
HP10 0BP,51.59217289,-0.681030576,"POINT((-0.681030576,51.59217289))"
HP10 0BQ,51.59363393,-0.677422415,"POINT((-0.677422415,51.59363393))"
HP10 0BS,51.5910031,-0.680154997,"POINT((-0.680154997,51.5910031))"
HP10 0BT,51.59234196,-0.680072889,"POINT((-0.680072889,51.59234196))"
HP10 0BU,51.5936938,-0.681145331,"POINT((-0.681145331,51.5936938))"
HP10 0BW,51.5931044,-0.679906428,"POINT((-0.679906428,51.5931044))"
HP10 0BX,51.59552534,-0.684903715,"POINT((-0.684903715,51.59552534))"
HP10 0BY,51.59579689,-0.684013,"POINT((-0.684013,51.59579689))"
HP10 0BZ,51.5939969,-0.680111545,"POINT((-0.680111545,51.5939969))"
HP10 0DA,51.60121091,-0.692392176,"POINT((-0.692392176,51.60121091))"
HP10 0DD,51.59708275,-0.688280475,"POINT((-0.688280475,51.59708275))"
HP10 0DE,51.59564684,-0.686921422,"POINT((-0.686921422,51.59564684))"
HP10 0DF,51.597283,-0.684348,"POINT((-0.684348,51.597283))"
HP10 0DG,51.598523,-0.685857,"POINT((-0.685857,51.598523))"
HP10 0DH,51.59742481,-0.688313934,"POINT((-0.688313934,51.59742481))"
HP10 0DJ,51.59900391,-0.690419755,"POINT((-0.690419755,51.59900391))"
HP10 0DL,51.60039533,-0.69263218,"POINT((-0.69263218,51.60039533))"
HP10 0DN,51.60063383,-0.691441348,"POINT((-0.691441348,51.60063383))"
HP10 0DP,51.60012012,-0.689723472,"POINT((-0.689723472,51.60012012))"
HP10 0DQ,51.588337,-0.688503,"POINT((-0.688503,51.588337))"
HP10 0DR,51.59978595,-0.690397262,"POINT((-0.690397262,51.59978595))"
HP10 0DS,51.60011967,-0.690488734,"POINT((-0.690488734,51.60011967))"
HP10 0DT,51.598409,-0.688589,"POINT((-0.688589,51.598409))"
HP10 0DU,51.59921744,-0.687800266,"POINT((-0.687800266,51.59921744))"
HP10 0DW,51.6008635,-0.690265196,"POINT((-0.690265196,51.6008635))"
HP10 0DX,51.59798014,-0.687316154,"POINT((-0.687316154,51.59798014))"
HP10 0EA,51.58586905,-0.682584347,"POINT((-0.682584347,51.58586905))"
HP10 0EE,51.58878682,-0.682746,"POINT((-0.682746,51.58878682))"
HP10 0EF,51.58799522,-0.68214755,"POINT((-0.68214755,51.58799522))"
HP10 0EG,51.58715018,-0.681363662,"POINT((-0.681363662,51.58715018))"
HP10 0EH,51.585942,-0.680186,"POINT((-0.680186,51.585942))"
HP10 0EJ,51.5871539,-0.683297786,"POINT((-0.683297786,51.5871539))"
HP10 0EL,51.586766,-0.684666,"POINT((-0.684666,51.586766))"
HP10 0EN,51.58658647,-0.683213147,"POINT((-0.683213147,51.58658647))"
HP10 0EP,51.58550252,-0.683576462,"POINT((-0.683576462,51.58550252))"
HP10 0ER,51.58562416,-0.683197661,"POINT((-0.683197661,51.58562416))"
HP10 0ES,51.5850713,-0.682809492,"POINT((-0.682809492,51.5850713))"
HP10 0ET,51.58481911,-0.684375637,"POINT((-0.684375637,51.58481911))"
HP10 0EU,51.588241,-0.683992533,"POINT((-0.683992533,51.588241))"
HP10 0EW,51.58582435,-0.683795,"POINT((-0.683795,51.58582435))"
HP10 0EX,51.58795541,-0.685815146,"POINT((-0.685815146,51.58795541))"
HP10 0FA,51.59630761,-0.685704059,"POINT((-0.685704059,51.59630761))"
HP10 0FB,51.59579873,-0.685227878,"POINT((-0.685227878,51.59579873))"
HP10 0FD,51.59648108,-0.685135989,"POINT((-0.685135989,51.59648108))"
HP10 0FE,51.59605213,-0.684570879,"POINT((-0.684570879,51.59605213))"
HP10 0FF,51.59650378,-0.683951456,"POINT((-0.683951456,51.59650378))"
HP10 0FG,51.59692918,-0.682596459,"POINT((-0.682596459,51.59692918))"
HP10 0FH,51.59735968,-0.682497377,"POINT((-0.682497377,51.59735968))"
HP10 0FJ,51.59654751,-0.682894,"POINT((-0.682894,51.59654751))"
HP10 0FL,51.59696173,-0.682292326,"POINT((-0.682292326,51.59696173))"
HP10 0FN,51.59682107,-0.683262,"POINT((-0.683262,51.59682107))"
HP10 0HA,51.58883542,-0.686511511,"POINT((-0.686511511,51.58883542))"
HP10 0HB,51.59129337,-0.688403907,"POINT((-0.688403907,51.59129337))"
HP10 0HD,51.5904232,-0.683766266,"POINT((-0.683766266,51.5904232))"
HP10 0HE,51.5911914,-0.683310991,"POINT((-0.683310991,51.5911914))"
HP10 0HF,51.59239219,-0.682944243,"POINT((-0.682944243,51.59239219))"
HP10 0HG,51.59168587,-0.682502716,"POINT((-0.682502716,51.59168587))"
HP10 0HH,51.59375843,-0.683698749,"POINT((-0.683698749,51.59375843))"
HP10 0HJ,51.59308416,-0.684512241,"POINT((-0.684512241,51.59308416))"
HP10 0HL,51.59501094,-0.685539363,"POINT((-0.685539363,51.59501094))"
HP10 0HP,51.59042038,-0.682712549,"POINT((-0.682712549,51.59042038))"
HP10 0HR,51.593975,-0.690045,"POINT((-0.690045,51.593975))"
HP10 0HS,51.59630061,-0.686686009,"POINT((-0.686686009,51.59630061))"
HP10 0HT,51.58923414,-0.684378036,"POINT((-0.684378036,51.58923414))"
HP10 0HU,51.58823255,-0.684868881,"POINT((-0.684868881,51.58823255))"
HP10 0HW,51.5953906,-0.684113561,"POINT((-0.684113561,51.5953906))"
HP10 0HZ,51.58760274,-0.685637669,"POINT((-0.685637669,51.58760274))"
HP10 0JA,51.5806343,-0.687267514,"POINT((-0.687267514,51.5806343))"
HP10 0JB,51.5762196,-0.681679975,"POINT((-0.681679975,51.5762196))"
HP10 0JD,51.57994493,-0.688340931,"POINT((-0.688340931,51.57994493))"
HP10 0JG,51.5748344,-0.684043383,"POINT((-0.684043383,51.5748344))"
HP10 0JH,51.57388885,-0.687129922,"POINT((-0.687129922,51.57388885))"
HP10 0JJ,51.57343725,-0.686147246,"POINT((-0.686147246,51.57343725))"
HP10 0JL,51.57389227,-0.677822238,"POINT((-0.677822238,51.57389227))"
HP10 0JN,51.57630288,-0.678690322,"POINT((-0.678690322,51.57630288))"
HP10 0JP,51.58106147,-0.675665799,"POINT((-0.675665799,51.58106147))"
HP10 0JQ,51.57454916,-0.689087887,"POINT((-0.689087887,51.57454916))"
HP10 0JR,51.58082182,-0.671963594,"POINT((-0.671963594,51.58082182))"
HP10 0JS,51.57722279,-0.666817,"POINT((-0.666817,51.57722279))"
HP10 0JT,51.57382889,-0.673798009,"POINT((-0.673798009,51.57382889))"
HP10 0JU,51.58018112,-0.667003099,"POINT((-0.667003099,51.58018112))"
HP10 0JW,51.578143,-0.674264,"POINT((-0.674264,51.578143))"
HP10 0JX,51.57959635,-0.66697691,"POINT((-0.66697691,51.57959635))"
HP10 0JY,51.57951614,-0.663876341,"POINT((-0.663876341,51.57951614))"
HP10 0LA,51.579958,-0.665422,"POINT((-0.665422,51.579958))"
HP10 0LB,51.58068863,-0.670524223,"POINT((-0.670524223,51.58068863))"
HP10 0LD,51.58096288,-0.67012654,"POINT((-0.67012654,51.58096288))"
HP10 0LG,51.5805371,-0.667468957,"POINT((-0.667468957,51.5805371))"
HP10 0LH,51.58118299,-0.666928,"POINT((-0.666928,51.58118299))"
HP10 0LJ,51.58211324,-0.657435226,"POINT((-0.657435226,51.58211324))"
HP10 0LL,51.58902542,-0.668259981,"POINT((-0.668259981,51.58902542))"
HP10 0LN,51.58204713,-0.676156735,"POINT((-0.676156735,51.58204713))"
HP10 0LP,51.589565,-0.665108568,"POINT((-0.665108568,51.589565))"
HP10 0LS,51.58733398,-0.684923693,"POINT((-0.684923693,51.58733398))"
HP10 0LU,51.5967464,-0.681533364,"POINT((-0.681533364,51.5967464))"
HP10 0LW,51.60053,-0.686867,"POINT((-0.686867,51.60053))"
HP10 0LX,51.579958,-0.665422,"POINT((-0.665422,51.579958))"
HP10 0LZ,51.59920143,-0.683960117,"POINT((-0.683960117,51.59920143))"
HP10 0NA,51.59926176,-0.683855,"POINT((-0.683855,51.59926176))"
HP10 0NB,51.59952868,-0.683474189,"POINT((-0.683474189,51.59952868))"
HP10 0ND,51.59901031,-0.684557613,"POINT((-0.684557613,51.59901031))"
HP10 0NE,51.59854785,-0.686621194,"POINT((-0.686621194,51.59854785))"
HP10 0NF,51.59948464,-0.686767434,"POINT((-0.686767434,51.59948464))"
HP10 0NG,51.60030435,-0.686094049,"POINT((-0.686094049,51.60030435))"
HP10 0NH,51.60112273,-0.686907894,"POINT((-0.686907894,51.60112273))"
HP10 0NJ,51.603289,-0.689141,"POINT((-0.689141,51.603289))"
HP10 0NL,51.60081042,-0.687927623,"POINT((-0.687927623,51.60081042))"
HP10 0NN,51.60093933,-0.679376057,"POINT((-0.679376057,51.60093933))"
HP10 0NP,51.600759,-0.685604,"POINT((-0.685604,51.600759))"
HP10 0NQ,51.60001,-0.686998,"POINT((-0.686998,51.60001))"
HP10 0NR,51.60354592,-0.683285822,"POINT((-0.683285822,51.60354592))"
HP10 0NS,51.60464889,-0.682214232,"POINT((-0.682214232,51.60464889))"
HP10 0NT,51.60918389,-0.680090005,"POINT((-0.680090005,51.60918389))"
HP10 0NU,51.60298278,-0.682651,"POINT((-0.682651,51.60298278))"
HP10 0NW,51.6012307,-0.686110633,"POINT((-0.686110633,51.6012307))"
HP10 0NY,51.59926474,-0.684795715,"POINT((-0.684795715,51.59926474))"
HP10 0NZ,51.59829584,-0.686599587,"POINT((-0.686599587,51.59829584))"
HP10 0PB,51.60393662,-0.69088434,"POINT((-0.69088434,51.60393662))"
HP10 0PD,51.58360683,-0.688538608,"POINT((-0.688538608,51.58360683))"
HP10 0PE,51.58271,-0.691855,"POINT((-0.691855,51.58271))"
HP10 0PF,51.58125264,-0.692719687,"POINT((-0.692719687,51.58125264))"
HP10 0PG,51.58182136,-0.693971,"POINT((-0.693971,51.58182136))"
HP10 0PH,51.58124985,-0.690049721,"POINT((-0.690049721,51.58124985))"
HP10 0PJ,51.58296446,-0.688990096,"POINT((-0.688990096,51.58296446))"
HP10 0PL,51.58086365,-0.690089689,"POINT((-0.690089689,51.58086365))"
HP10 0PN,51.58201111,-0.688165986,"POINT((-0.688165986,51.58201111))"
HP10 0PR,51.57934982,-0.690609468,"POINT((-0.690609468,51.57934982))"
HP10 0PS,51.57925868,-0.69211302,"POINT((-0.69211302,51.57925868))"
HP10 0PW,51.58126905,-0.688548168,"POINT((-0.688548168,51.58126905))"
HP10 0PX,51.58027759,-0.689947781,"POINT((-0.689947781,51.58027759))"
HP10 0PY,51.57940276,-0.689713156,"POINT((-0.689713156,51.57940276))"
HP10 0PZ,51.57854308,-0.691642878,"POINT((-0.691642878,51.57854308))"
HP10 0QA,51.57879,-0.692695291,"POINT((-0.692695291,51.57879))"
HP10 0QB,51.578753,-0.693426,"POINT((-0.693426,51.578753))"
HP10 0QD,51.577733,-0.693889,"POINT((-0.693889,51.577733))"
HP10 0QE,51.57724563,-0.695446728,"POINT((-0.695446728,51.57724563))"
HP10 0QH,51.58062325,-0.69514797,"POINT((-0.69514797,51.58062325))"
HP10 0QJ,51.58101348,-0.694660518,"POINT((-0.694660518,51.58101348))"
HP10 0QL,51.58131124,-0.693944785,"POINT((-0.693944785,51.58131124))"
HP10 0QN,51.57982853,-0.693222377,"POINT((-0.693222377,51.57982853))"
HP10 0QQ,51.58157688,-0.696001059,"POINT((-0.696001059,51.58157688))"
HP10 0QS,51.58063531,-0.688348,"POINT((-0.688348,51.58063531))"
HP10 0QU,51.5772978,-0.692862009,"POINT((-0.692862009,51.5772978))"
HP10 0RD,51.62214237,-0.770490332,"POINT((-0.770490332,51.62214237))"
HP10 0SP,51.59765143,-0.680453192,"POINT((-0.680453192,51.59765143))"
HP10 0SR,51.59725845,-0.681489662,"POINT((-0.681489662,51.59725845))"
HP10 0SS,51.59784361,-0.680750821,"POINT((-0.680750821,51.59784361))"
HP10 0ST,51.59740016,-0.681297867,"POINT((-0.681297867,51.59740016))"
HP10 0SU,51.59786135,-0.681529957,"POINT((-0.681529957,51.59786135))"
HP10 0SX,51.59743296,-0.681816679,"POINT((-0.681816679,51.59743296))"
HP10 0SY,51.59800315,-0.682146685,"POINT((-0.682146685,51.59800315))"
HP10 0SZ,51.59820269,-0.682299729,"POINT((-0.682299729,51.59820269))"
HP10 0TJ,51.59333606,-0.678918029,"POINT((-0.678918029,51.59333606))"
HP10 0TT,51.582155,-0.688032,"POINT((-0.688032,51.582155))"
HP10 0ZR,51.62214237,-0.770490332,"POINT((-0.770490332,51.62214237))"
HP10 8AA,51.64031251,-0.69366685,"POINT((-0.69366685,51.64031251))"
HP10 8AB,51.64055421,-0.691954627,"POINT((-0.691954627,51.64055421))"
HP10 8AD,51.64178846,-0.693783412,"POINT((-0.693783412,51.64178846))"
HP10 8AE,51.641455,-0.696082336,"POINT((-0.696082336,51.641455))"
HP10 8AF,51.64501211,-0.695815364,"POINT((-0.695815364,51.64501211))"
HP10 8AG,51.64444918,-0.696135021,"POINT((-0.696135021,51.64444918))"
HP10 8AH,51.6427745,-0.696746688,"POINT((-0.696746688,51.6427745))"
HP10 8AJ,51.64283932,-0.698536907,"POINT((-0.698536907,51.64283932))"
HP10 8AL,51.64436951,-0.698680984,"POINT((-0.698680984,51.64436951))"
HP10 8AN,51.64426359,-0.698048098,"POINT((-0.698048098,51.64426359))"
HP10 8AP,51.64433481,-0.699606951,"POINT((-0.699606951,51.64433481))"
HP10 8AQ,51.64354065,-0.696912607,"POINT((-0.696912607,51.64354065))"
HP10 8AR,51.64458899,-0.694960335,"POINT((-0.694960335,51.64458899))"
HP10 8AS,51.64570007,-0.697038596,"POINT((-0.697038596,51.64570007))"
HP10 8AT,51.64516827,-0.697733129,"POINT((-0.697733129,51.64516827))"
HP10 8AW,51.64372647,-0.699075157,"POINT((-0.699075157,51.64372647))"
HP10 8AX,51.63924394,-0.697035753,"POINT((-0.697035753,51.63924394))"
HP10 8AY,51.63599044,-0.693126314,"POINT((-0.693126314,51.63599044))"
HP10 8AZ,51.64029163,-0.697453722,"POINT((-0.697453722,51.64029163))"
HP10 8BA,51.64038944,-0.700601336,"POINT((-0.700601336,51.64038944))"
HP10 8BB,51.64079877,-0.700213896,"POINT((-0.700213896,51.64079877))"
HP10 8BD,51.64124134,-0.699579819,"POINT((-0.699579819,51.64124134))"
HP10 8BE,51.64135004,-0.698839671,"POINT((-0.698839671,51.64135004))"
HP10 8BH,51.64299347,-0.701090546,"POINT((-0.701090546,51.64299347))"
HP10 8BJ,51.64207528,-0.701810475,"POINT((-0.701810475,51.64207528))"
HP10 8BL,51.64164269,-0.701721664,"POINT((-0.701721664,51.64164269))"
HP10 8BN,51.64191975,-0.704011609,"POINT((-0.704011609,51.64191975))"
HP10 8BP,51.64108952,-0.704555535,"POINT((-0.704555535,51.64108952))"
HP10 8BQ,51.64332933,-0.699751331,"POINT((-0.699751331,51.64332933))"
HP10 8BT,51.64112181,-0.701779893,"POINT((-0.701779893,51.64112181))"
HP10 8BU,51.64025328,-0.701298894,"POINT((-0.701298894,51.64025328))"
HP10 8BW,51.64237426,-0.702828035,"POINT((-0.702828035,51.64237426))"
HP10 8BX,51.64019862,-0.702861205,"POINT((-0.702861205,51.64019862))"
HP10 8BY,51.6396187,-0.702458665,"POINT((-0.702458665,51.6396187))"
HP10 8BZ,51.6395064,-0.701247972,"POINT((-0.701247972,51.6395064))"
HP10 8DA,51.63589414,-0.695787886,"POINT((-0.695787886,51.63589414))"
HP10 8DD,51.6367835,-0.698955895,"POINT((-0.698955895,51.6367835))"
HP10 8DF,51.63997138,-0.692101457,"POINT((-0.692101457,51.63997138))"
HP10 8DG,51.64001347,-0.695077221,"POINT((-0.695077221,51.64001347))"
HP10 8DH,51.64054573,-0.696853931,"POINT((-0.696853931,51.64054573))"
HP10 8DJ,51.639525,-0.694701,"POINT((-0.694701,51.639525))"
HP10 8DL,51.63834712,-0.698058557,"POINT((-0.698058557,51.63834712))"
HP10 8DN,51.63706932,-0.700407207,"POINT((-0.700407207,51.63706932))"
HP10 8DP,51.6366257,-0.702572972,"POINT((-0.702572972,51.6366257))"
HP10 8DQ,51.64088203,-0.695558099,"POINT((-0.695558099,51.64088203))"
HP10 8DR,51.63644979,-0.704557667,"POINT((-0.704557667,51.63644979))"
HP10 8DS,51.63573191,-0.703060872,"POINT((-0.703060872,51.63573191))"
HP10 8DT,51.63376673,-0.702611191,"POINT((-0.702611191,51.63376673))"
HP10 8DU,51.633668,-0.701689,"POINT((-0.701689,51.633668))"
HP10 8DW,51.6377876,-0.701123659,"POINT((-0.701123659,51.6377876))"
HP10 8DX,51.63295964,-0.702807604,"POINT((-0.702807604,51.63295964))"
HP10 8DY,51.633476,-0.703154107,"POINT((-0.703154107,51.633476))"
HP10 8DZ,51.63744468,-0.698575714,"POINT((-0.698575714,51.63744468))"
HP10 8EA,51.63836504,-0.699676534,"POINT((-0.699676534,51.63836504))"
HP10 8EB,51.63259884,-0.698642144,"POINT((-0.698642144,51.63259884))"
HP10 8ED,51.63930312,-0.699129467,"POINT((-0.699129467,51.63930312))"
HP10 8EE,51.63467226,-0.697499087,"POINT((-0.697499087,51.63467226))"
HP10 8EF,51.63521724,-0.693943275,"POINT((-0.693943275,51.63521724))"
HP10 8EG,51.635546,-0.697503,"POINT((-0.697503,51.635546))"
HP10 8EH,51.63501604,-0.699309908,"POINT((-0.699309908,51.63501604))"
HP10 8EJ,51.63582376,-0.699171204,"POINT((-0.699171204,51.63582376))"
HP10 8EL,51.63650929,-0.700177559,"POINT((-0.700177559,51.63650929))"
HP10 8EN,51.63462711,-0.699104288,"POINT((-0.699104288,51.63462711))"
HP10 8EP,51.63397129,-0.697533614,"POINT((-0.697533614,51.63397129))"
HP10 8EQ,51.636383,-0.697551,"POINT((-0.697551,51.636383))"
HP10 8ER,51.63329435,-0.698925674,"POINT((-0.698925674,51.63329435))"
HP10 8ES,51.63887118,-0.702218,"POINT((-0.702218,51.63887118))"
HP10 8ET,51.63395419,-0.700048299,"POINT((-0.700048299,51.63395419))"
HP10 8EU,51.63574903,-0.701355288,"POINT((-0.701355288,51.63574903))"
HP10 8EW,51.634048,-0.701057,"POINT((-0.701057,51.634048))"
HP10 8EX,51.63627826,-0.701239023,"POINT((-0.701239023,51.63627826))"
HP10 8EY,51.63485319,-0.695167505,"POINT((-0.695167505,51.63485319))"
HP10 8EZ,51.63463088,-0.694581449,"POINT((-0.694581449,51.63463088))"
HP10 8HA,51.64701935,-0.714764189,"POINT((-0.714764189,51.64701935))"
HP10 8HB,51.633899,-0.695790431,"POINT((-0.695790431,51.633899))"
HP10 8HD,51.63140411,-0.698748572,"POINT((-0.698748572,51.63140411))"
HP10 8HE,51.629994,-0.696304,"POINT((-0.696304,51.629994))"
HP10 8HF,51.62893439,-0.699021498,"POINT((-0.699021498,51.62893439))"
HP10 8HG,51.62270808,-0.702724336,"POINT((-0.702724336,51.62270808))"
HP10 8HH,51.63885968,-0.701309798,"POINT((-0.701309798,51.63885968))"
HP10 8HJ,51.63722038,-0.705128181,"POINT((-0.705128181,51.63722038))"
HP10 8HN,51.63854316,-0.703587623,"POINT((-0.703587623,51.63854316))"
HP10 8HP,51.637505,-0.704773,"POINT((-0.704773,51.637505))"
